# NOTE: This model was trained on the new high variance dataset to see if it would perform better.
# Text length was capped at 50 tokens.

You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
torch.Size([16])
torch.Size([16, 1, 128, 256, 256])
Initializing data loader
Getting dataloaders
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
Finished loading the data
Device: cuda
Epoch 1: train_loss 11.8231, train_text_loss 10.3497, val_loss 11.1291, val_text_loss 10.2954, train_acc 0.5432, val_acc 0.3929
Epoch 2: train_loss 11.1027, train_text_loss 10.2537, val_loss 11.3331, val_text_loss 10.2037, train_acc 0.4691, val_acc 0.3929
Epoch 3: train_loss 10.8849, train_text_loss 10.1701, val_loss 10.8950, val_text_loss 10.1212, train_acc 0.5185, val_acc 0.4643
Epoch 4: train_loss 10.7665, train_text_loss 10.1004, val_loss 11.0065, val_text_loss 10.0475, train_acc 0.5309, val_acc 0.4286
Epoch 5: train_loss 10.7549, train_text_loss 10.0312, val_loss 10.7882, val_text_loss 9.9783, train_acc 0.5556, val_acc 0.4643
Epoch 6: train_loss 10.7384, train_text_loss 9.9666, val_loss 10.6082, val_text_loss 9.9123, train_acc 0.4938, val_acc 0.5357
Epoch 7: train_loss 10.7195, train_text_loss 9.8995, val_loss 10.5211, val_text_loss 9.8386, train_acc 0.6049, val_acc 0.6071
Epoch 8: train_loss 10.5314, train_text_loss 9.8279, val_loss 10.5374, val_text_loss 9.7705, train_acc 0.6049, val_acc 0.3929
Epoch 9: train_loss 10.4823, train_text_loss 9.7554, val_loss 10.4642, val_text_loss 9.6918, train_acc 0.5679, val_acc 0.4643
Epoch 10: train_loss 10.3789, train_text_loss 9.6797, val_loss 10.3280, val_text_loss 9.6101, train_acc 0.6296, val_acc 0.5357
Epoch 11: train_loss 10.2381, train_text_loss 9.6029, val_loss 10.2091, val_text_loss 9.5315, train_acc 0.6049, val_acc 0.5714
Epoch 12: train_loss 10.2776, train_text_loss 9.5228, val_loss 10.2109, val_text_loss 9.4489, train_acc 0.5802, val_acc 0.5714
Epoch 13: train_loss 10.1565, train_text_loss 9.4448, val_loss 10.4405, val_text_loss 9.3760, train_acc 0.5556, val_acc 0.4286
Epoch 14: train_loss 10.2723, train_text_loss 9.3721, val_loss 10.0785, val_text_loss 9.3038, train_acc 0.4815, val_acc 0.5357
Epoch 15: train_loss 9.8515, train_text_loss 9.3004, val_loss 9.8807, val_text_loss 9.2300, train_acc 0.6914, val_acc 0.5714
Epoch 16: train_loss 9.9682, train_text_loss 9.2227, val_loss 9.8565, val_text_loss 9.1533, train_acc 0.5802, val_acc 0.5357
Epoch 17: train_loss 9.8561, train_text_loss 9.1511, val_loss 9.8181, val_text_loss 9.0705, train_acc 0.6049, val_acc 0.5357
Epoch 18: train_loss 9.6096, train_text_loss 9.0702, val_loss 9.8568, val_text_loss 8.9929, train_acc 0.7407, val_acc 0.4643
Epoch 19: train_loss 9.7109, train_text_loss 8.9849, val_loss 9.7094, val_text_loss 8.9086, train_acc 0.6049, val_acc 0.5357
Epoch 20: train_loss 9.6272, train_text_loss 8.9069, val_loss 9.5495, val_text_loss 8.8295, train_acc 0.5556, val_acc 0.5357
Epoch 21: train_loss 9.5614, train_text_loss 8.8289, val_loss 9.4753, val_text_loss 8.7521, train_acc 0.5679, val_acc 0.5000
Epoch 22: train_loss 9.4453, train_text_loss 8.7532, val_loss 9.4172, val_text_loss 8.6807, train_acc 0.6790, val_acc 0.5714
Epoch 23: train_loss 9.2905, train_text_loss 8.6790, val_loss 9.4715, val_text_loss 8.5959, train_acc 0.6914, val_acc 0.5000
Epoch 24: train_loss 9.2449, train_text_loss 8.5993, val_loss 9.3080, val_text_loss 8.5239, train_acc 0.6420, val_acc 0.5357
Epoch 25: train_loss 9.1356, train_text_loss 8.5198, val_loss 9.0773, val_text_loss 8.4398, train_acc 0.5802, val_acc 0.5000
Epoch 26: train_loss 9.2195, train_text_loss 8.4370, val_loss 8.9759, val_text_loss 8.3611, train_acc 0.5556, val_acc 0.6071
Epoch 27: train_loss 9.0695, train_text_loss 8.3598, val_loss 8.9227, val_text_loss 8.2747, train_acc 0.5679, val_acc 0.5714
Epoch 28: train_loss 8.8631, train_text_loss 8.2743, val_loss 8.9159, val_text_loss 8.1882, train_acc 0.6914, val_acc 0.5714
Epoch 29: train_loss 8.8370, train_text_loss 8.1922, val_loss 8.8767, val_text_loss 8.1043, train_acc 0.6049, val_acc 0.5357
Epoch 30: train_loss 8.6844, train_text_loss 8.1025, val_loss 8.6562, val_text_loss 8.0138, train_acc 0.7037, val_acc 0.5357
Epoch 31: train_loss 8.7192, train_text_loss 8.0212, val_loss 8.5988, val_text_loss 7.9334, train_acc 0.5679, val_acc 0.5714
Epoch 32: train_loss 8.5738, train_text_loss 7.9316, val_loss 8.5340, val_text_loss 7.8463, train_acc 0.6420, val_acc 0.6429
Epoch 33: train_loss 8.4349, train_text_loss 7.8458, val_loss 8.4566, val_text_loss 7.7596, train_acc 0.6790, val_acc 0.5714
Epoch 34: train_loss 8.3706, train_text_loss 7.7513, val_loss 8.2950, val_text_loss 7.6689, train_acc 0.6296, val_acc 0.6071
Epoch 35: train_loss 8.3271, train_text_loss 7.6635, val_loss 8.2249, val_text_loss 7.5886, train_acc 0.6914, val_acc 0.6071
Epoch 36: train_loss 8.1941, train_text_loss 7.5743, val_loss 8.1268, val_text_loss 7.5024, train_acc 0.6173, val_acc 0.6071
Epoch 37: train_loss 8.1381, train_text_loss 7.4966, val_loss 8.0558, val_text_loss 7.4114, train_acc 0.6543, val_acc 0.6071
Epoch 38: train_loss 8.0215, train_text_loss 7.4140, val_loss 7.9481, val_text_loss 7.3278, train_acc 0.6420, val_acc 0.6429
Epoch 39: train_loss 7.9796, train_text_loss 7.3252, val_loss 7.8785, val_text_loss 7.2499, train_acc 0.6049, val_acc 0.6071
Epoch 40: train_loss 7.8354, train_text_loss 7.2411, val_loss 7.8289, val_text_loss 7.1642, train_acc 0.6296, val_acc 0.5714
Epoch 41: train_loss 7.7732, train_text_loss 7.1613, val_loss 7.7035, val_text_loss 7.0959, train_acc 0.6667, val_acc 0.6786
Epoch 42: train_loss 7.6953, train_text_loss 7.0713, val_loss 7.6086, val_text_loss 7.0047, train_acc 0.6420, val_acc 0.6071
Epoch 43: train_loss 7.6024, train_text_loss 6.9905, val_loss 7.5207, val_text_loss 6.9274, train_acc 0.6420, val_acc 0.6071
Epoch 44: train_loss 7.6241, train_text_loss 6.9082, val_loss 7.4523, val_text_loss 6.8484, train_acc 0.6543, val_acc 0.6071
Epoch 45: train_loss 7.3895, train_text_loss 6.8334, val_loss 7.3242, val_text_loss 6.7596, train_acc 0.7531, val_acc 0.6786
Epoch 46: train_loss 7.3522, train_text_loss 6.7525, val_loss 7.3215, val_text_loss 6.6837, train_acc 0.7037, val_acc 0.6071
Epoch 47: train_loss 7.3433, train_text_loss 6.6765, val_loss 7.1842, val_text_loss 6.6100, train_acc 0.6543, val_acc 0.6429
Epoch 48: train_loss 7.2003, train_text_loss 6.6056, val_loss 7.2136, val_text_loss 6.5455, train_acc 0.6790, val_acc 0.6071
Epoch 49: train_loss 7.1106, train_text_loss 6.5452, val_loss 7.0385, val_text_loss 6.4784, train_acc 0.6914, val_acc 0.6429
Epoch 50: train_loss 7.1045, train_text_loss 6.4756, val_loss 7.0221, val_text_loss 6.4112, train_acc 0.7160, val_acc 0.6429
Epoch 51: train_loss 7.0216, train_text_loss 6.4080, val_loss 6.9144, val_text_loss 6.3488, train_acc 0.6420, val_acc 0.6071
Epoch 52: train_loss 6.8942, train_text_loss 6.3553, val_loss 6.9317, val_text_loss 6.2915, train_acc 0.7654, val_acc 0.6429
Epoch 53: train_loss 6.9375, train_text_loss 6.2928, val_loss 6.8322, val_text_loss 6.2303, train_acc 0.6296, val_acc 0.6786
Epoch 54: train_loss 6.7754, train_text_loss 6.2237, val_loss 6.7760, val_text_loss 6.1674, train_acc 0.7407, val_acc 0.6429
Epoch 55: train_loss 6.7028, train_text_loss 6.1607, val_loss 6.8000, val_text_loss 6.1058, train_acc 0.6420, val_acc 0.6071
Epoch 56: train_loss 6.7234, train_text_loss 6.1024, val_loss 6.6410, val_text_loss 6.0559, train_acc 0.6790, val_acc 0.6071
Epoch 57: train_loss 6.5947, train_text_loss 6.0494, val_loss 6.6157, val_text_loss 5.9944, train_acc 0.7407, val_acc 0.5714
Epoch 58: train_loss 6.6717, train_text_loss 5.9880, val_loss 6.6335, val_text_loss 5.9209, train_acc 0.6667, val_acc 0.6786
Epoch 59: train_loss 6.3950, train_text_loss 5.9166, val_loss 6.6151, val_text_loss 5.8614, train_acc 0.7654, val_acc 0.6071
Epoch 60: train_loss 6.5098, train_text_loss 5.8541, val_loss 6.5271, val_text_loss 5.8162, train_acc 0.7407, val_acc 0.6071
Epoch 61: train_loss 6.3054, train_text_loss 5.7976, val_loss 6.4259, val_text_loss 5.7600, train_acc 0.7160, val_acc 0.6071
Epoch 62: train_loss 6.3883, train_text_loss 5.7537, val_loss 6.4255, val_text_loss 5.6939, train_acc 0.6420, val_acc 0.5357
Epoch 63: train_loss 6.2219, train_text_loss 5.6789, val_loss 6.3550, val_text_loss 5.6430, train_acc 0.7160, val_acc 0.5714
Epoch 64: train_loss 6.1784, train_text_loss 5.6275, val_loss 6.3394, val_text_loss 5.6038, train_acc 0.7284, val_acc 0.5714
Epoch 65: train_loss 6.1738, train_text_loss 5.5753, val_loss 6.2765, val_text_loss 5.5493, train_acc 0.7160, val_acc 0.6071
Epoch 66: train_loss 6.0229, train_text_loss 5.5289, val_loss 6.1926, val_text_loss 5.5096, train_acc 0.7654, val_acc 0.6429
Epoch 67: train_loss 6.0327, train_text_loss 5.4838, val_loss 6.2339, val_text_loss 5.4472, train_acc 0.7407, val_acc 0.5714
Epoch 68: train_loss 5.9577, train_text_loss 5.4609, val_loss 6.2325, val_text_loss 5.4186, train_acc 0.7407, val_acc 0.6071
Epoch 69: train_loss 5.8509, train_text_loss 5.4154, val_loss 6.1616, val_text_loss 5.3966, train_acc 0.8025, val_acc 0.5357
Epoch 70: train_loss 5.9762, train_text_loss 5.3564, val_loss 6.1275, val_text_loss 5.3457, train_acc 0.6543, val_acc 0.5357
Epoch 71: train_loss 5.8657, train_text_loss 5.3475, val_loss 6.1359, val_text_loss 5.3208, train_acc 0.7407, val_acc 0.6429
Epoch 72: train_loss 5.8895, train_text_loss 5.2786, val_loss 5.9843, val_text_loss 5.2639, train_acc 0.6914, val_acc 0.6429
Epoch 73: train_loss 5.8151, train_text_loss 5.2445, val_loss 5.9361, val_text_loss 5.2366, train_acc 0.7901, val_acc 0.6071
Epoch 74: train_loss 5.8429, train_text_loss 5.2311, val_loss 5.9240, val_text_loss 5.1945, train_acc 0.7037, val_acc 0.6429
Epoch 75: train_loss 5.7116, train_text_loss 5.1968, val_loss 5.7849, val_text_loss 5.1581, train_acc 0.7654, val_acc 0.6786
Epoch 76: train_loss 5.7065, train_text_loss 5.1435, val_loss 5.8246, val_text_loss 5.1496, train_acc 0.6667, val_acc 0.6786
Epoch 77: train_loss 5.7168, train_text_loss 5.1363, val_loss 5.8026, val_text_loss 5.0970, train_acc 0.7037, val_acc 0.5714
Epoch 78: train_loss 5.6174, train_text_loss 5.1089, val_loss 5.7608, val_text_loss 5.0694, train_acc 0.7531, val_acc 0.6071
Epoch 79: train_loss 5.5769, train_text_loss 5.0463, val_loss 5.6634, val_text_loss 5.0371, train_acc 0.7037, val_acc 0.6429
Epoch 80: train_loss 5.4962, train_text_loss 5.0290, val_loss 5.7514, val_text_loss 5.0092, train_acc 0.7407, val_acc 0.6071
Epoch 81: train_loss 5.5146, train_text_loss 4.9933, val_loss 5.7146, val_text_loss 4.9768, train_acc 0.7407, val_acc 0.6071
Epoch 82: train_loss 5.4272, train_text_loss 4.9574, val_loss 5.7774, val_text_loss 4.9639, train_acc 0.7654, val_acc 0.6071
Epoch 83: train_loss 5.5350, train_text_loss 4.9625, val_loss 5.7104, val_text_loss 4.9069, train_acc 0.7037, val_acc 0.6429
Epoch 84: train_loss 5.3963, train_text_loss 4.9055, val_loss 5.6808, val_text_loss 4.8838, train_acc 0.7778, val_acc 0.6071
Epoch 85: train_loss 5.2478, train_text_loss 4.8633, val_loss 5.5636, val_text_loss 4.8717, train_acc 0.8272, val_acc 0.6071
Epoch 86: train_loss 5.4054, train_text_loss 4.8382, val_loss 5.6216, val_text_loss 4.8262, train_acc 0.7037, val_acc 0.5714
Epoch 87: train_loss 5.3962, train_text_loss 4.8027, val_loss 5.4979, val_text_loss 4.8000, train_acc 0.7037, val_acc 0.6071
Epoch 88: train_loss 5.3522, train_text_loss 4.7792, val_loss 5.5439, val_text_loss 4.7620, train_acc 0.7284, val_acc 0.5000
Epoch 89: train_loss 5.2488, train_text_loss 4.7582, val_loss 5.5827, val_text_loss 4.7358, train_acc 0.7531, val_acc 0.5357
Epoch 90: train_loss 5.2337, train_text_loss 4.7171, val_loss 5.4904, val_text_loss 4.7484, train_acc 0.7531, val_acc 0.6071
Epoch 91: train_loss 5.2235, train_text_loss 4.7371, val_loss 5.3824, val_text_loss 4.6931, train_acc 0.7407, val_acc 0.5714
Epoch 92: train_loss 5.1829, train_text_loss 4.6710, val_loss 5.3514, val_text_loss 4.6676, train_acc 0.7654, val_acc 0.6429
Epoch 93: train_loss 5.2402, train_text_loss 4.6545, val_loss 5.3439, val_text_loss 4.6726, train_acc 0.6790, val_acc 0.6429
Epoch 94: train_loss 5.1021, train_text_loss 4.6318, val_loss 5.4008, val_text_loss 4.6142, train_acc 0.8025, val_acc 0.5357
Epoch 95: train_loss 5.0548, train_text_loss 4.6415, val_loss 5.4863, val_text_loss 4.6054, train_acc 0.8148, val_acc 0.5000
Epoch 96: train_loss 5.1647, train_text_loss 4.5755, val_loss 5.3938, val_text_loss 4.6090, train_acc 0.6914, val_acc 0.5714
Epoch 97: train_loss 5.0591, train_text_loss 4.5579, val_loss 5.5145, val_text_loss 4.5836, train_acc 0.7778, val_acc 0.6429
Epoch 98: train_loss 5.1013, train_text_loss 4.5377, val_loss 5.4075, val_text_loss 4.5315, train_acc 0.7160, val_acc 0.6071
Epoch 99: train_loss 5.0063, train_text_loss 4.5088, val_loss 5.3385, val_text_loss 4.5100, train_acc 0.7531, val_acc 0.6786
Epoch 100: train_loss 4.9962, train_text_loss 4.5057, val_loss 5.2766, val_text_loss 4.4921, train_acc 0.7654, val_acc 0.5357
Epoch 101: train_loss 4.9509, train_text_loss 4.4687, val_loss 5.2189, val_text_loss 4.4985, train_acc 0.8025, val_acc 0.6429
Epoch 102: train_loss 4.9360, train_text_loss 4.4492, val_loss 5.1888, val_text_loss 4.4881, train_acc 0.7778, val_acc 0.6786
Epoch 103: train_loss 5.1280, train_text_loss 4.4399, val_loss 5.1685, val_text_loss 4.4569, train_acc 0.7407, val_acc 0.6786
Epoch 104: train_loss 4.9203, train_text_loss 4.4293, val_loss 5.1732, val_text_loss 4.4124, train_acc 0.7284, val_acc 0.7143
Epoch 105: train_loss 4.9854, train_text_loss 4.4101, val_loss 5.1348, val_text_loss 4.4437, train_acc 0.8025, val_acc 0.6786
Epoch 106: train_loss 4.9454, train_text_loss 4.4292, val_loss 5.1930, val_text_loss 4.3712, train_acc 0.7284, val_acc 0.6429
Epoch 107: train_loss 4.7479, train_text_loss 4.3753, val_loss 5.0902, val_text_loss 4.3626, train_acc 0.8642, val_acc 0.7143
