You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
torch.Size([16])
torch.Size([16, 1, 128, 256, 256])
Initializing data loader
Getting dataloaders
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
Finished loading the data
Device: cuda
Epoch 1: train_loss 11.1739, train_text_loss 10.3362, val_loss 10.9541, val_text_loss 10.2651, train_acc 0.5679, val_acc 0.6071
Epoch 2: train_loss 11.1258, train_text_loss 10.2357, val_loss 11.3089, val_text_loss 10.1858, train_acc 0.5185, val_acc 0.3929
Epoch 3: train_loss 10.9819, train_text_loss 10.1618, val_loss 10.7948, val_text_loss 10.1166, train_acc 0.4444, val_acc 0.5357
Epoch 4: train_loss 10.8421, train_text_loss 10.0928, val_loss 10.7184, val_text_loss 10.0449, train_acc 0.5926, val_acc 0.6071
Epoch 5: train_loss 10.6318, train_text_loss 10.0296, val_loss 10.7396, val_text_loss 9.9711, train_acc 0.6667, val_acc 0.4643
Epoch 6: train_loss 10.7075, train_text_loss 9.9552, val_loss 10.6464, val_text_loss 9.8982, train_acc 0.5926, val_acc 0.4643
Epoch 7: train_loss 10.6446, train_text_loss 9.8900, val_loss 10.4783, val_text_loss 9.8283, train_acc 0.5802, val_acc 0.6071
Epoch 8: train_loss 10.7166, train_text_loss 9.8183, val_loss 10.4240, val_text_loss 9.7554, train_acc 0.5556, val_acc 0.6071
Epoch 9: train_loss 10.4597, train_text_loss 9.7484, val_loss 10.4250, val_text_loss 9.6855, train_acc 0.5802, val_acc 0.4643
Epoch 10: train_loss 10.3989, train_text_loss 9.6753, val_loss 10.4122, val_text_loss 9.6067, train_acc 0.5062, val_acc 0.4643
Epoch 11: train_loss 10.3353, train_text_loss 9.5943, val_loss 10.2191, val_text_loss 9.5301, train_acc 0.5679, val_acc 0.4643
Epoch 12: train_loss 10.2116, train_text_loss 9.5243, val_loss 10.1312, val_text_loss 9.4533, train_acc 0.6543, val_acc 0.6071
Epoch 13: train_loss 10.1182, train_text_loss 9.4459, val_loss 10.0279, val_text_loss 9.3733, train_acc 0.5926, val_acc 0.6071
Epoch 14: train_loss 9.9892, train_text_loss 9.3625, val_loss 9.9625, val_text_loss 9.2895, train_acc 0.6296, val_acc 0.5714
Epoch 15: train_loss 9.9621, train_text_loss 9.2807, val_loss 9.8847, val_text_loss 9.2035, train_acc 0.5679, val_acc 0.5357
Epoch 16: train_loss 9.8649, train_text_loss 9.1991, val_loss 9.8091, val_text_loss 9.1213, train_acc 0.5679, val_acc 0.5357
Epoch 17: train_loss 9.8192, train_text_loss 9.1173, val_loss 9.6817, val_text_loss 9.0364, train_acc 0.5679, val_acc 0.6071
Epoch 18: train_loss 9.7664, train_text_loss 9.0340, val_loss 9.5982, val_text_loss 8.9504, train_acc 0.5432, val_acc 0.6071
Epoch 19: train_loss 9.6058, train_text_loss 8.9498, val_loss 9.5452, val_text_loss 8.8678, train_acc 0.5556, val_acc 0.5357
