# NOTE: patch_size = 16, learning_rate = 0.0001, epochs = 300, batch_size = 8, n_heads = 4, n_layers = 3, dropout = 0.1

You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
torch.Size([16])
torch.Size([16, 1, 128, 256, 256])
Initializing data loader
Getting dataloaders
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
Finished loading the data
Device: cuda
Epoch 1: train_loss 11.1739, train_text_loss 10.3362, val_loss 10.9541, val_text_loss 10.2651, train_acc 0.5679, val_acc 0.6071
Epoch 2: train_loss 11.1258, train_text_loss 10.2357, val_loss 11.3080, val_text_loss 10.1858, train_acc 0.5185, val_acc 0.3929
Epoch 3: train_loss 10.9821, train_text_loss 10.1618, val_loss 10.7946, val_text_loss 10.1166, train_acc 0.4444, val_acc 0.5357
Epoch 4: train_loss 10.8419, train_text_loss 10.0929, val_loss 10.7190, val_text_loss 10.0449, train_acc 0.6049, val_acc 0.6071
Epoch 5: train_loss 10.6315, train_text_loss 10.0297, val_loss 10.7393, val_text_loss 9.9712, train_acc 0.6543, val_acc 0.4643
Epoch 6: train_loss 10.7072, train_text_loss 9.9553, val_loss 10.6373, val_text_loss 9.8985, train_acc 0.5926, val_acc 0.4643
Epoch 7: train_loss 10.6436, train_text_loss 9.8900, val_loss 10.4786, val_text_loss 9.8284, train_acc 0.5926, val_acc 0.6071
Epoch 8: train_loss 10.7184, train_text_loss 9.8183, val_loss 10.4237, val_text_loss 9.7553, train_acc 0.5432, val_acc 0.6071
Epoch 9: train_loss 10.4593, train_text_loss 9.7482, val_loss 10.4242, val_text_loss 9.6852, train_acc 0.5802, val_acc 0.4643
Epoch 10: train_loss 10.3971, train_text_loss 9.6749, val_loss 10.4021, val_text_loss 9.6063, train_acc 0.4815, val_acc 0.5000
Epoch 11: train_loss 10.3313, train_text_loss 9.5938, val_loss 10.2164, val_text_loss 9.5295, train_acc 0.5556, val_acc 0.5000
Epoch 12: train_loss 10.2088, train_text_loss 9.5235, val_loss 10.1345, val_text_loss 9.4523, train_acc 0.6543, val_acc 0.6071
Epoch 13: train_loss 10.1187, train_text_loss 9.4448, val_loss 10.0270, val_text_loss 9.3723, train_acc 0.5926, val_acc 0.6071
Epoch 14: train_loss 9.9805, train_text_loss 9.3613, val_loss 9.9548, val_text_loss 9.2885, train_acc 0.6420, val_acc 0.5357
Epoch 15: train_loss 9.9535, train_text_loss 9.2795, val_loss 9.8772, val_text_loss 9.2025, train_acc 0.5679, val_acc 0.5357
Epoch 16: train_loss 9.8764, train_text_loss 9.1978, val_loss 9.7977, val_text_loss 9.1211, train_acc 0.5679, val_acc 0.5357
Epoch 17: train_loss 9.8069, train_text_loss 9.1171, val_loss 9.6837, val_text_loss 9.0374, train_acc 0.6173, val_acc 0.5714
Epoch 18: train_loss 9.7623, train_text_loss 9.0353, val_loss 9.6038, val_text_loss 8.9535, train_acc 0.5432, val_acc 0.5714
Epoch 19: train_loss 9.6017, train_text_loss 8.9528, val_loss 9.5555, val_text_loss 8.8724, train_acc 0.5432, val_acc 0.5714
Epoch 20: train_loss 9.5186, train_text_loss 8.8673, val_loss 9.4660, val_text_loss 8.7925, train_acc 0.5802, val_acc 0.5357
